Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
2225038,1,2225066,"",2010-02-08T21:37:20.240,"",1700,1666409,"",101258,"",355230,"",2017-03-24T21:43:38.690,2019-06-17T15:34:39.740,"Determine the type of an object?",<python>,12,13,290,"",""
8369219,1,8369345,"",2011-12-03T16:47:54.157,"",875,1183154,"",963489,"",5127371,"",2019-02-25T12:19:30.177,2019-10-31T19:12:37.420,"How to read a text file into a string variable and strip newlines?",<python>,23,4,154,"",""
3501382,1,3501408,"",2010-08-17T10:15:08.270,"",838,1181151,"",221149,"",54964,"",2012-06-16T19:48:56.203,2019-11-16T05:29:11.617,"Checking whether a variable is an integer or not",<python>,42,15,176,"",""
12897374,1,"","",2012-10-15T14:05:37.353,"",701,1376537,"",128112,"",3064538,"",2019-10-09T04:06:00.577,2019-10-29T19:33:56.183,"Get unique values from a list in python",<python>,30,3,141,2018-07-09T18:30:50.197,""
8384737,1,8384788,"",2011-12-05T11:39:49.827,"",690,963352,"",1029944,"",355230,"",2016-11-28T13:46:41.587,2019-10-25T10:52:38.680,"Extract file name from path, no matter what the os/path format",<python>,17,0,147,"",""
2573135,1,2576240,"",2010-04-04T00:28:33.830,"",659,360492,"",253197,"",4023,"",2013-05-21T18:38:59.203,2013-10-10T11:17:07.087,"Python progression path - From apprentice to guru",<python>,19,0,2672,"",2010-04-04T00:28:33.830
431684,1,431715,"",2009-01-10T20:28:16.723,"",641,1002466,"",28835,Peter,5777975,S.Lott,2018-05-16T09:17:03.810,2018-11-07T16:40:15.383,"How do I change directory (cd) in Python?",<python>,12,2,132,"",""
624926,1,624939,"",2009-03-09T03:31:30.623,"",629,226694,"",14799,"Daniel H",63550,"",2018-02-24T11:38:54.780,2019-10-31T03:39:32.350,"How do I detect whether a Python variable is a function?",<python>,24,6,103,"",""
20180543,1,20180597,"",2013-11-24T20:25:01.600,"",585,804786,"",476410,"",3937850,"",2017-07-28T19:56:54.780,2019-11-21T08:06:10.940,"How to check version of python modules?",<python>,21,3,93,"",""
279561,1,279586,"",2008-11-10T23:33:36.373,"",570,308966,"",10569,andrewdotnich,3980929,andrewdotnich,2019-01-08T11:20:21.250,2019-10-27T23:09:51.267,"What is the Python equivalent of static variables inside a function?",<python>,27,3,167,"",""
1466000,1,1466036,"",2009-09-23T13:27:36.450,"",555,363525,"",63051,"",8372104,"",2018-06-08T18:47:58.170,2019-03-11T21:45:39.263,"python open built-in function: difference between modes a, a+, w, w+, and r+?",<python>,6,3,304,"",""
4172448,1,4172465,"",2010-11-13T12:17:04.593,"",526,813668,"",197036,"",63550,"",2014-01-29T20:07:38.843,2017-09-20T15:40:22.367,"Is it possible to break a long line to multiple lines in Python",<python>,7,0,114,2018-05-24T19:13:02.013,""
4843158,1,4843172,"",2011-01-30T13:29:48.060,"",518,1070298,"",595771,"",2507006,"",2015-10-19T20:31:59.860,2019-10-02T07:45:14.727,"Check if a Python list item contains a string inside another string",<python>,16,2,162,"",""
1369526,1,1369553,"",2009-09-02T18:57:51.017,"",478,367847,"",36680,"",10661,"",2009-09-02T18:59:36.567,2017-04-05T20:52:29.527,"What is the python keyword ""with"" used for?",<python>,2,1,150,2014-05-20T15:19:41.507,""
699866,1,699891,"",2009-03-31T03:04:37.603,"",475,610110,"",11760,Nate,5353461,"",2019-04-30T10:06:54.050,2019-06-07T20:41:01.510,"Python int to binary string?",<python>,32,0,116,"",""
19747371,1,"","",2013-11-02T22:00:32.197,"",435,583655,"",348545,"",125212,"",2015-06-09T17:04:55.667,2019-11-21T04:25:28.180,"Python exit commands - why so many and when should each be used?",<python>,4,0,151,"",""
1252163,1,"","",2009-08-09T20:15:39.743,"",429,308293,"","",alex,1726797,"",2019-06-04T11:28:26.217,2019-09-20T08:25:35.767,"Printing Python version in output",<python>,4,0,52,"",""
10840533,1,10840586,"",2012-05-31T20:06:14.740,"",424,256227,"",319741,"","","","",2019-05-08T08:38:28.717,"Most pythonic way to delete a file which may not exist",<python>,13,4,64,"",""
775049,1,775095,"",2009-04-21T23:08:16.550,"",423,313295,"",54316,"",63550,"",2018-10-29T23:35:24.210,2019-11-04T11:02:12.557,"How do I convert seconds to hours, minutes and seconds?",<python>,10,1,105,"",""
3975376,1,3975388,"",2010-10-20T06:51:25.907,"",402,216732,"",225312,"","","","",2019-04-23T13:42:22.640,"Understanding dict.copy() - shallow or deep?",<python>,7,1,158,"",""
684171,1,"","",2009-03-26T01:19:41.687,"",383,226391,"","",Ashu,"","","",2018-11-22T19:18:48.807,"How to re import an updated package while in Python Interpreter?",<python>,11,2,66,2017-03-29T06:13:56.553,""
13886168,1,13886195,"",2012-12-14T20:59:30.383,"",359,257765,"",1901780,"",355230,"",2018-08-30T15:22:24.560,2019-08-16T19:32:05.420,"How to use the pass statement?",<python>,15,3,65,"",""
7286365,1,7286465,"",2011-09-02T16:12:58.120,"",333,388740,"",446406,ramesh.mimit,355230,"",2016-07-28T11:39:03.227,2019-08-17T14:26:02.273,"Print a list in reverse order with range()?",<python>,17,0,44,"",""
919680,1,919684,"",2009-05-28T07:50:10.090,"",330,320482,"",259,"",1090562,"",2015-04-18T20:57:13.293,2019-09-05T08:36:20.087,"Can a variable number of arguments be passed to a function?",<python>,5,4,70,"",""
1254370,1,1254379,"",2009-08-10T11:24:17.167,"",330,144998,"",78374,"","","","",2018-08-22T13:50:49.133,"Reimport a module in python while interactive",<python>,3,2,66,"",""
13628791,1,13628825,"",2012-11-29T15:11:59.557,"",317,541625,"",1717888,"",11809808,"",2019-08-22T01:50:11.597,2019-10-28T00:16:58.773,"Determine Whether Integer Is Between Two Other Integers?",<python>,8,3,48,"",""
9535954,1,9536084,"",2012-03-02T15:32:55.033,"",314,509381,"",1205479,"",355230,"",2019-07-16T00:51:09.797,2019-07-16T00:51:09.797,"Printing Lists as Tabular Data",<python>,12,5,136,"",""
3204782,1,"","",2010-07-08T14:45:10.110,"",309,357318,"",385652,"",-1,"",2017-05-23T11:47:25.103,2016-07-18T09:28:23.130,"how to check if a file is a directory or regular file in python?",<python>,4,0,49,2012-12-02T20:20:06.823,""
2860153,1,2860193,"",2010-05-18T18:55:41.777,"",306,364259,"",304151,"",304151,"",2015-01-11T15:24:07.620,2019-09-18T21:31:23.253,"How do I get the parent directory in Python?",<python>,19,0,58,"",""
13694034,1,13694053,"",2012-12-04T00:09:26.957,"",302,156028,"",39036,"","","","",2016-12-16T20:53:10.273,"Is a Python list guaranteed to have its elements stay in the order they are inserted in?",<python>,6,0,28,"",""
3845362,1,3845371,"",2010-10-02T10:59:57.647,"",297,523227,"",257022,"",4099593,"",2019-04-20T01:29:27.850,2019-04-20T01:29:27.850,"How can I check if a key exists in a dictionary?",<python>,3,0,43,2019-04-20T01:29:33.697,""
400739,1,400753,"",2008-12-30T16:28:53.423,"",295,169239,"",8203,Martin,368070,"Jonathan Leffler",2014-05-14T06:08:20.677,2016-12-06T19:04:19.217,"What does asterisk * mean in Python?",<python>,5,3,84,2014-01-06T00:17:31.223,""
514371,1,514395,"",2009-02-05T02:59:47.157,"",292,225368,"",28035,Noah,28035,Noah,2009-02-05T03:13:16.053,2019-07-11T12:03:58.477,"What's the bad magic number error?",<python>,14,9,58,"",""
1911281,1,1911287,"",2009-12-15T23:40:41.163,"",292,310158,"",128508,"",-1,"",2017-05-23T12:10:54.780,2019-07-22T16:08:48.617,"How do I get list of methods in a Python class?",<python>,14,5,97,"",""
3781851,1,3781869,"",2010-09-23T19:31:11.770,"",291,690476,"",2786,"",63550,"",2019-03-27T10:08:56.977,2019-03-27T10:08:56.977,"Run a Python script from another Python script, passing in arguments",<python>,7,7,98,2015-02-26T14:05:25.343,""
5466618,1,5466625,"",2011-03-29T00:32:14.247,"",291,433416,"",211983,"",1219006,"",2013-03-29T07:53:36.657,2019-10-28T21:27:19.107,"'too many values to unpack', iterating over a dict. key=>string, value=>list",<python>,8,0,53,"",""
4042905,1,4043007,"",2010-10-28T12:28:20.720,"",287,110779,"",211075,"",915948,"",2012-12-30T11:49:58.437,2019-03-15T05:49:28.347,"What is __main__.py?",<python>,5,0,84,"",""
835092,1,835430,"",2009-05-07T14:46:13.083,"",285,91175,"",59753,"",59753,"",2009-05-07T15:05:13.223,2019-04-24T17:58:56.723,"Python dictionary: are keys() and values() always the same order?",<python>,8,1,36,"",""
716477,1,716482,"",2009-04-04T04:00:35.980,"",284,314525,"",52490,Kozyarchuk,"","","",2019-07-17T16:53:47.640,"join list of lists in python",<python>,15,1,78,2016-06-30T01:10:26.927,""
1186789,1,1186847,"",2009-07-27T06:52:48.123,"",277,419086,"",10583,"",1222951,"",2019-05-07T07:15:44.370,2019-11-29T05:43:14.177,"What is the best way to call a script from another script?",<python>,12,3,127,"",""
12400256,1,12400584,"",2012-09-13T06:00:51.780,"",276,381901,"",1667633,"",355230,"",2017-06-23T01:47:12.067,2019-01-03T08:08:53.387,"Converting Epoch time into the datetime",<python>,7,6,65,"",""
2077897,1,2077944,"",2010-01-16T15:43:27.690,"",275,198209,"",238444,"",2666859,"",2016-08-04T11:41:31.217,2019-01-05T02:36:52.743,"Substitute multiple whitespace with single whitespace in Python",<python>,3,1,53,2015-01-20T13:17:12.430,""
7974849,1,7975511,"",2011-11-02T01:29:19.863,"",274,528356,"",831913,"",5503983,"",2016-11-04T23:48:09.230,2019-11-04T23:33:35.933,"How can I make one python file run another?",<python>,8,2,78,2017-10-17T15:10:24.547,""
8928240,1,8928256,"",2012-01-19T15:01:45.430,"",269,353215,"",128967,"",2034423,"",2016-08-28T09:48:49.713,2019-10-31T00:28:31.413,"Convert base-2 binary number string to int",<python>,7,1,59,"",""
287085,1,287101,"",2008-11-13T14:33:51.947,"",267,147170,"",34395,"",1219006,"",2013-05-14T10:55:11.403,2018-07-31T01:00:00.187,"What do *args and **kwargs mean?",<python>,5,2,117,2013-11-15T21:36:36.787,""
1027714,1,1027739,"",2009-06-22T15:05:00.097,"",266,584328,"",51197,"",51197,"",2009-06-22T15:15:54.443,2019-11-19T22:42:02.867,"How to execute a file within the python interpreter?",<python>,11,2,89,"",""
154443,1,154617,"",2008-09-30T18:55:59.263,"",261,108368,"",1476,Avner,149392,"",2019-03-08T20:57:16.100,2019-10-27T16:37:03.323,"How to avoid .pyc files?",<python>,10,0,70,"",""
9079036,1,9079062,"",2012-01-31T11:50:01.150,"",261,203951,"",1004443,"",3924118,"",2018-08-30T13:26:32.560,2019-07-30T14:47:05.990,"How do I detect the Python version at runtime?",<python>,9,0,38,2018-05-07T00:57:25.883,""
3160699,1,3160819,"",2010-07-01T18:39:36.657,"",257,351129,"",225312,"",2572853,"",2016-07-11T16:14:50.793,2019-11-13T10:31:42.703,"Python Progress Bar",<python>,30,5,124,"",""
1024435,1,1024489,"",2009-06-21T18:10:18.187,"",253,237978,"",48387,"",63550,"",2018-08-11T23:30:55.313,2019-09-06T01:45:04.943,"How to fix Python indentation",<python>,12,3,123,"",""
3503879,1,3503909,"",2010-08-17T15:03:57.847,"",253,394659,"",422990,"",93343,"",2012-10-17T20:25:26.877,2018-03-05T18:03:14.660,"Assign output of os.system to a variable and prevent it from being displayed on the screen",<python>,7,5,75,"",""
1841565,1,"","",2009-12-03T17:34:19.797,"",252,1180831,"",224099,"",1245190,"",2019-02-10T10:55:58.213,2019-04-23T03:21:30.103,"ValueError: invalid literal for int() with base 10: ''",<python>,13,1,70,"",""
1566266,1,1569007,"",2009-10-14T13:34:26.600,"",247,195959,"",111836,"",1085343,"",2018-05-01T15:27:20.207,2018-05-01T15:27:20.207,"Why do python lists have pop() but not push()",<python>,10,3,21,"",""
5312778,1,"","",2011-03-15T13:54:25.167,"",246,312724,"",11236,"",-1,"",2017-05-23T12:26:26.683,2017-02-05T00:11:49.280,"How to test if a dictionary contains a specific key?",<python>,1,8,18,2011-03-15T14:39:25.390,""
949098,1,950591,"",2009-06-04T07:37:18.070,"",245,144326,"",13055,"",13055,"",2009-06-04T08:08:30.377,2019-09-20T13:20:31.033,"Python: split a list based on a condition?",<python>,33,4,46,"",""
12654772,1,12654798,"",2012-09-29T17:22:02.173,"",236,324642,"",992444,"",298479,"",2012-09-29T17:30:23.467,2016-10-25T16:00:32.173,"Create empty file using python",<python>,2,6,39,2015-08-02T16:16:23.010,""
8528178,1,8528626,"",2011-12-15T23:46:30.083,"",235,381704,"",1040563,"",494061,"",2011-12-15T23:50:59.693,2015-05-19T10:24:09.673,"List of zeros in python",<python>,8,1,35,2016-10-08T12:23:47.833,""
114214,1,114267,"",2008-09-22T10:49:43.190,"",233,145124,"",16070,"",73603,"",2010-08-16T06:58:46.700,2019-01-18T19:08:10.367,"Class method differences in Python: bound, unbound and static",<python>,11,4,166,"",""
6475328,1,6475407,"",2011-06-25T02:04:14.550,"",218,221905,"",559935,"",636987,"",2019-01-21T12:52:57.243,2019-10-11T00:01:46.570,"How can I read large text files in Python, line by line, without loading it into memory?",<python>,14,3,73,"",""
191010,1,191029,"",2008-10-10T12:18:32.580,"",217,318261,"",985,"Bartosz Radaczyński",444991,"Bartosz Radaczyński",2015-08-03T10:27:14.503,2019-03-04T08:30:50.150,"How to get a complete list of object's methods and attributes?",<python>,5,4,42,"",""
1614236,1,1614247,"",2009-10-23T15:33:00.873,"",215,551920,"","",snk,6413377,"",2018-02-25T10:21:54.823,2019-05-23T16:06:46.123,"In Python, how do I convert all of the items in a list to floats?",<python>,11,2,51,"",""
26595,1,26611,"",2008-08-25T18:27:16.330,"",214,25093,"",156,"Joe Shaw","","","",2019-04-03T07:18:57.980,"Is there any difference between ""foo is None"" and ""foo == None""?",<python>,12,0,60,"",""
2872512,1,2872519,"",2010-05-20T09:37:03.633,"",208,222389,"",221149,"",26235,"",2016-07-18T21:03:19.230,2019-11-05T01:33:56.890,"Python truncate a long string",<python>,17,0,28,"",""
740287,1,740294,"",2009-04-11T15:13:07.730,"",203,350609,"",37056,"",2642204,"",2015-06-23T20:31:01.470,2019-06-28T20:38:18.107,"How to check if one of the following items is in a list?",<python>,14,2,55,"",""
11968976,1,11969014,"",2012-08-15T12:07:20.660,"",202,280525,"",1580510,"",9274020,"",2018-10-21T18:19:22.070,2019-11-09T06:05:02.570,"List files ONLY in the current directory",<python>,9,0,72,"",""
543309,1,543322,"",2009-02-12T21:18:06.050,"",199,488324,"",51816,"Joan Venge",-1,Andrew,2017-05-23T12:02:47.340,2018-02-13T05:20:21.520,"Programmatically stop execution of python script?",<python>,4,0,33,2010-08-01T18:04:20.537,""
19389490,1,19389957,"",2013-10-15T19:31:14.773,"",199,260463,"",678572,"",541136,"",2016-09-26T20:26:41.467,2019-07-22T12:33:30.003,"How do Python's any and all functions work?",<python>,8,1,80,"",""
482410,1,"","",2009-01-27T05:40:38.513,"",196,387712,"",46646,"",10661,S.Lott,2009-01-27T10:37:55.683,2019-01-04T05:45:45.117,"How do I convert a string to a double in Python?",<python>,3,2,12,"",""
31818050,1,31818069,"",2015-08-04T19:51:39.220,"",194,343700,"",5151880,"",5446749,"",2018-01-02T19:48:10.807,2019-08-15T20:40:26.763,"Round number to nearest integer",<python>,10,2,16,"",""
5296977,1,5296992,"",2011-03-14T09:47:05.990,"",191,37233,"",325241,"",325241,"",2019-06-11T07:38:31.680,2019-06-11T07:38:31.680,"What will happen if I modify a Python script while it's running?",<python>,1,6,18,"",""
51521158,1,51521235,"",2018-07-25T14:14:51.830,"",191,7842,"",2594596,"",1222951,"",2018-07-25T14:19:49.050,2018-07-27T17:58:07.777,"In python, why does 0xbin() return False?",<python>,4,7,24,2018-07-26T18:58:54.500,""
8237647,1,8237659,"",2011-11-23T05:17:26.487,"",188,478539,"",946069,"",2039736,"",2015-03-30T08:22:56.340,2019-11-05T02:01:29.960,"Clear variable in python",<python>,6,1,30,"",""
2560310,1,2561008,"",2010-04-01T12:37:16.890,"",185,86047,"",300076,"",63550,"",2010-11-08T08:37:15.207,2015-07-13T23:02:08.100,"Heavy usage of Python at Google",<python>,4,8,112,2011-12-03T03:27:21.507,""
13710631,1,13710667,"",2012-12-04T19:42:31.810,"",182,137983,"",279719,"","","","",2017-12-28T06:41:24.700,"Is there shorthand for returning a default value if None in Python?",<python>,5,0,22,2016-01-19T23:13:27.850,""
4541155,1,"","",2010-12-27T19:14:41.823,"",178,420585,"",537925,"","","","",2019-09-07T17:28:00.443,"Check if a number is int or float",<python>,16,7,34,"",""
5685406,1,"","",2011-04-16T08:47:35.557,"",175,650395,"",710987,"",63550,"",2018-07-03T04:03:44.817,2019-10-11T03:01:06.497,"""inconsistent use of tabs and spaces in indentation""",<python>,22,3,54,"",""
5855758,1,5855793,"",2011-05-02T09:56:38.020,"",173,53449,"",220853,"",355230,"",2016-10-17T08:16:59.593,2019-01-04T17:41:34.423,"What is the source code of the ""this"" module doing?",<python>,5,0,68,"",""
4056768,1,4056782,"",2010-10-30T00:44:58.540,"",172,376407,"",491880,"",1536976,"",2014-12-18T12:03:52.147,2019-05-28T21:11:08.070,"How to declare array of zeros in python (or an array of a certain size)",<python>,10,3,29,2016-10-08T12:21:58.943,""
6773584,1,6773636,"",2011-07-21T08:59:21.720,"",170,100741,"",562769,"",562769,"",2014-12-08T20:31:56.973,2019-01-11T21:28:00.183,"How is Pythons glob.glob ordered?",<python>,9,3,30,"",""
9872255,1,9872434,"",2012-03-26T12:37:16.150,"",170,65422,"",1128618,"",-1,"",2017-05-23T12:18:30.023,2012-03-26T12:55:50.677,"When and why should I use a namedtuple instead of a dictionary?",<python>,2,3,38,2012-03-26T19:23:33.867,""
17015230,1,17015303,"",2013-06-09T23:37:30.230,"",170,143250,"",2985269,"",2501585,"",2018-05-30T18:09:20.727,2019-09-04T14:13:52.937,"Are nested try/except blocks in python a good programming practice?",<python>,11,1,27,"",""
575196,1,575337,"",2009-02-22T16:42:51.457,"",167,123548,"",55857,"Monty Hindman",1222951,"J.F. Sebastian",2018-09-25T17:17:06.713,2019-04-26T17:33:38.027,"Why can a function modify some arguments as perceived by the caller, but not others?",<python>,10,1,82,"",""
713138,1,713143,"",2009-04-03T09:04:09.677,"",167,86770,"",1384652,Teifion,10661,S.Lott,2009-04-03T10:17:22.603,2019-04-10T13:07:06.407,"Getting the docstring from a function",<python>,3,1,18,"",""
1176136,1,1178089,"",2009-07-24T07:01:23.990,"",167,179816,"","",spitfire,8554766,"",2018-10-15T09:18:42.903,2018-10-15T09:18:42.903,"Convert string to Python class object?",<python>,10,1,53,"",""
21639275,1,21639459,"",2014-02-07T22:55:16.053,"",166,246822,"",2985796,"",2985796,"",2014-02-07T23:02:16.933,2018-12-22T13:48:14.563,"Python ""SyntaxError: Non-ASCII character '\xe2' in file""",<python>,19,7,35,"",""
1918539,1,1918581,"",2009-12-16T23:27:05.993,"",165,95326,"",82322,"","","","",2019-09-12T02:09:03.883,"Can anyone explain python's relative imports?",<python>,3,0,35,"",""
10079216,1,10079265,"",2012-04-09T20:14:55.987,"",163,158321,"",971888,"",110358,"",2014-05-12T14:21:34.287,2019-11-16T09:42:39.007,"Skip first entry in for loop in python?",<python>,13,1,26,"",""
14535730,1,14535739,"",2013-01-26T09:48:07.330,"",163,110342,"",1982150,"",1701416,"",2019-04-01T20:11:34.013,2019-11-04T08:41:21.910,"What does ""hashable"" mean in Python?",<python>,7,3,65,"",""
10880813,1,10880820,"",2012-06-04T11:53:35.347,"",161,233042,"",962891,"","","","",2019-03-24T23:09:02.167,"TypeError: sequence item 0: expected string, int found",<python>,5,1,32,"",""
521532,1,521545,"",2009-02-06T18:25:53.277,"",159,52264,"",63439,drue,2859614,S.Lott,2017-02-16T17:48:16.513,2017-02-16T17:48:16.513,"How do I get python's pprint to return a string instead of printing?",<python>,5,0,19,"",""
3496518,1,"","",2010-08-16T19:19:36.473,"",159,204437,"",422082,"",4518341,"",2019-09-12T01:52:44.380,2019-09-12T01:52:44.380,"Using a dictionary to count the items in a list",<python>,8,3,62,2016-04-13T12:35:46.107,""
997797,1,997807,"",2009-06-15T19:05:10.647,"",157,633395,"",113976,"",1021920,"",2018-08-07T12:18:27.467,2018-12-14T09:24:11.957,"What does %s mean in a python format string?",<python>,7,2,55,"",""
4821104,1,4821120,"",2011-01-27T19:49:57.950,"",157,123428,"",264632,"",355230,"",2019-07-27T21:42:42.783,2019-07-27T21:42:42.783,"Dynamic instantiation from string name of a class in dynamically imported module?",<python>,7,0,55,"",""
2357230,1,2357251,"",2010-03-01T16:21:13.090,"",155,149462,"",216605,"","","","",2019-11-26T09:01:59.973,"What is the proper way to comment functions in python?",<python>,9,0,17,"",""
3041986,1,3041990,"",2010-06-15T01:13:54.140,"",155,167388,"",105905,"",355230,"",2016-07-13T14:12:39.070,2019-03-12T10:05:13.220,"APT command line interface-like yes/no input?",<python>,18,1,47,"",""
2104782,1,2105155,"",2010-01-20T20:40:10.980,"",150,162342,"",252781,"",252781,"",2010-01-21T22:31:29.393,2019-10-22T11:58:11.483,"Returning the product of a list",<python>,14,12,32,"",""
3232943,1,3233356,"",2010-07-12T23:01:12.720,"",150,72175,"",340212,"","","","",2019-11-23T05:25:56.917,"Update value of a nested dictionary of varying depth",<python>,21,4,55,"",""
4081217,1,4081234,"",2010-11-02T19:04:29.467,"",150,207657,"",265629,"","","","",2019-04-11T10:02:04.147,"How to modify list entries during for loop?",<python>,8,2,33,"",""
4940032,1,4944929,"",2011-02-09T00:09:48.030,"",150,629668,"",585510,"",355230,"",2017-09-27T14:01:38.693,2019-12-01T03:53:58.737,"How to search for a string in text files?",<python>,11,0,61,"",""
690622,1,690625,"",2009-03-27T17:04:19.867,"",148,92919,"",11522,Ben,"",user212218,2012-07-15T03:17:17.510,2018-01-08T14:51:31.263,"What's a standard way to do a no-op in python?",<python>,3,1,10,"",""
7783308,1,7783326,"",2011-10-16T09:03:07.360,"",148,181212,"",927877,"",6409572,"",2018-04-05T03:20:14.053,2019-07-14T12:08:37.733,"os.path.dirname(__file__) returns empty",<python>,5,0,52,"",""
8236380,1,8236402,"",2011-11-23T01:48:29.973,"",148,105684,"",834839,"","","","",2019-10-28T20:37:50.613,"Why is semicolon allowed in this python snippet?",<python>,14,2,26,"",""
7610001,1,7610082,"",2011-09-30T11:58:29.230,"",147,67309,"",621944,"",355230,"",2017-01-19T02:04:55.083,2019-02-26T11:21:45.570,"What is the purpose of the -m switch?",<python>,2,2,33,"",""
707380,1,707389,"",2009-04-01T21:23:39.717,"",146,138045,"",20712,"Ross Rogers",20712,"",2019-06-12T18:48:40.197,2019-06-12T18:48:40.197,"In Python how can I access ""static"" class variables within class methods",<python>,5,1,33,"",""
11552320,1,11552350,"",2012-07-19T00:28:17.843,"",145,429856,"",1333936,"","","","",2019-07-23T18:58:58.647,"Correct way to pause Python program",<python>,12,3,35,"",""
